Word :  gabriel 	 Frequency : 1
Word :  débranchée 	 Frequency : 1
Word :  midimerci 	 Frequency : 2
Word :  nuisent 	 Frequency : 1
Word :  ainé 	 Frequency : 1
Word :  régularisée 	 Frequency : 2
Word :  témoin 	 Frequency : 1
Word :  vraissemblablement 	 Frequency : 2
Word :  ch040 	 Frequency : 3
Word :  psycologue 	 Frequency : 1
Word :  constantessi 	 Frequency : 1
Word :  estiméacteur 	 Frequency : 1
Word :  sallefran 	 Frequency : 1
Word :  guigon 	 Frequency : 1
Word :  renvois 	 Frequency : 2
Word :  loccupationnelle 	 Frequency : 1
Word :  bienêtreressources 	 Frequency : 2
Word :  derobien 	 Frequency : 2
Word :  ouvrie 	 Frequency : 2
Word :  nuitapyrétiquemme 	 Frequency : 1
Word :  jourmt 	 Frequency : 1
Word :  psychologie21112014 	 Frequency : 6
Word :  hypersalivationhypotonieta 	 Frequency : 1
Word :  piedsattention 	 Frequency : 1
Word :  vessie 	 Frequency : 13
Word :  oedeme 	 Frequency : 33
Word :  nepeut 	 Frequency : 1
Word :  penilex 	 Frequency : 3
Word :  steven 	 Frequency : 1
Word :  changesatisfaction 	 Frequency : 1
Word :  siesteré 	 Frequency : 1
Word :  quitter 	 Frequency : 22
Word :  cape 	 Frequency : 1
Word :  suivront 	 Frequency : 1
Word :  aucuns 	 Frequency : 5
Word :  donglesfraisagebétadine 	 Frequency : 1
Word :  basmesdames 	 Frequency : 1
Word :  valgusttt 	 Frequency : 1
Word :  litavons 	 Frequency : 1
Word :  cohen 	 Frequency : 5
Word :  prévenuvu 	 Frequency : 1
Word :  autrui 	 Frequency : 5
Word :  amolodopine 	 Frequency : 1
Word :  persévéré 	 Frequency : 2
Word :  semaineinscrit 	 Frequency : 1
Word :  mapprocher 	 Frequency : 1
Word :  dermatordv 	 Frequency : 2
Word :  cem 	 Frequency : 1
Word :  minimum 	 Frequency : 6
Word :  lexplication 	 Frequency : 2
Word :  mordremr 	 Frequency : 1
Word :  0912du 	 Frequency : 1
Word :  veilleurs151214 	 Frequency : 1
Word :  patientedapres 	 Frequency : 1
Word :  téléphone 	 Frequency : 91
Word :  30ans 	 Frequency : 1
Word :  lincontinence 	 Frequency : 1
Word :  50e 	 Frequency : 1
Word :  automatique 	 Frequency : 1
Word :  chuterdit 	 Frequency : 1
Word :  portee 	 Frequency : 1
Word :  vomissemnts 	 Frequency : 1
Word :  psychologue16h35 	 Frequency : 4
Word :  célinepsychologue 	 Frequency : 1
Word :  116ecbu 	 Frequency : 1
Word :  16h06activité 	 Frequency : 1
Word :  revendication 	 Frequency : 2
Word :  spontanéeta 	 Frequency : 1
Word :  uinstallée 	 Frequency : 1
Word :  regulièrement 	 Frequency : 3
Word :  offusquée 	 Frequency : 1
Word :  dormaitrecoucher 	 Frequency : 1
Word :  reaction 	 Frequency : 6
Word :  chaneliere 	 Frequency : 1
Word :  concluante 	 Frequency : 2
Word :  plusun 	 Frequency : 1
Word :  ad3!!!!!vu 	 Frequency : 1
Word :  organisé 	 Frequency : 12
Word :  rentrant 	 Frequency : 7
Word :  oposante 	 Frequency : 1
Word :  ramassé 	 Frequency : 2
Word :  précis 	 Frequency : 5
Word :  x2j 	 Frequency : 1
Word :  trj 	 Frequency : 1
Word :  stérile 	 Frequency : 1
Word :  psychologue16h07 	 Frequency : 3
Word :  entretein 	 Frequency : 1
Word :  gêneraient 	 Frequency : 1
Word :  26102014orientation 	 Frequency : 1
Word :  384 	 Frequency : 5
Word :  mentionné 	 Frequency : 1
Word :  jambessi 	 Frequency : 1
Word :  tenter 	 Frequency : 18
Word :  édith 	 Frequency : 1
Word :  bienvu 	 Frequency : 2
Word :  nuitordo 	 Frequency : 1
Word :  collége 	 Frequency : 1
Word :  léve 	 Frequency : 10
Word :  t385 	 Frequency : 1
Word :  conservéepraxies 	 Frequency : 1
Word :  expliquations 	 Frequency : 1
Word :  reconfirmé 	 Frequency : 1
Word :  codesinfection 	 Frequency : 1
Word :  bouches 	 Frequency : 1
Word :  lettes 	 Frequency : 1
Word :  deserten 	 Frequency : 1
Word :  22hporte 	 Frequency : 1
Word :  remarquier 	 Frequency : 1
Word :  croutepas 	 Frequency : 1
Word :  psychologue15h32 	 Frequency : 1
Word :  rappellera 	 Frequency : 6
Word :  soin 	 Frequency : 1124
Word :  expulsé 	 Frequency : 2
Word :  recoucherpas 	 Frequency : 1
Word :  crochart 	 Frequency : 1
Word :  mêmes 	 Frequency : 16
Word :  fassentme 	 Frequency : 1
Word :  certains 	 Frequency : 40
Word :  sao294 	 Frequency : 1
Word :  souriantefait 	 Frequency : 1
Word :  labdomensuivi 	 Frequency : 1
Word :  dintimité 	 Frequency : 1
Word :  cematin 	 Frequency : 2
Word :  200ml 	 Frequency : 1
Word :  23h00lieu 	 Frequency : 6
Word :  plusen 	 Frequency : 1
Word :  hygiène 	 Frequency : 7
Word :  apporte 	 Frequency : 20
Word :  dessusdessous 	 Frequency : 1
Word :  lentraide 	 Frequency : 1
Word :  débutantshumeur 	 Frequency : 1
Word :  particuliersmme 	 Frequency : 1
Word :  smallbilan 	 Frequency : 1
Word :  137pls 	 Frequency : 1
Word :  pdent 	 Frequency : 1
Word :  senerveje 	 Frequency : 1
Word :  39cle 	 Frequency : 1
Word :  petites 	 Frequency : 55
Word :  27012015 	 Frequency : 2
Word :  paranoïdes 	 Frequency : 1
Word :  mixee 	 Frequency : 4
Word :  létablissementvérification 	 Frequency : 1
Word :  5ème 	 Frequency : 5
Word :  forcé 	 Frequency : 3
Word :  définitif 	 Frequency : 4
Word :  tichaeuraccompagnants 	 Frequency : 4
Word :  costantinibouchon 	 Frequency : 1
Word :  ouidernier 	 Frequency : 6
Word :  allure!peut 	 Frequency : 1
Word :  habilles 	 Frequency : 2
Word :  reproduise 	 Frequency : 3
Word :  3pdf 	 Frequency : 1
Word :  smallsi 	 Frequency : 1
Word :  blayo 	 Frequency : 1
Word :  paneau 	 Frequency : 1
Word :  direset 	 Frequency : 1
Word :  selizat 	 Frequency : 1
Word :  bienmonsieur 	 Frequency : 1
Word :  voulus 	 Frequency : 4
Word :  expectorer 	 Frequency : 2
Word :  coupest 	 Frequency : 1
Word :  vendée 	 Frequency : 1
Word :  creil 	 Frequency : 5
Word :  neusa 	 Frequency : 1
Word :  spiriva 	 Frequency : 1
Word :  chollet 	 Frequency : 1
Word :  tombe 	 Frequency : 18
Word :  linhard 	 Frequency : 3
Word :  augmentation 	 Frequency : 55
Word :  profedement 	 Frequency : 1
Word :  troptard 	 Frequency : 1
Word :  soiréeaprès 	 Frequency : 1
Word :  nue 	 Frequency : 24
Word :  14h40 	 Frequency : 3
Word :  uirne 	 Frequency : 1
Word :  supination 	 Frequency : 1
Word :  2112a 	 Frequency : 1
Word :  psychologiquesatisfaction 	 Frequency : 1
Word :  envi 	 Frequency : 2
Word :  marquéeexamen 	 Frequency : 1
Word :  16h07activité 	 Frequency : 1
Word :  reconnue 	 Frequency : 1
Word :  pth 	 Frequency : 9
Word :  souhaitaientmme 	 Frequency : 1
Word :  violent 	 Frequency : 10
Word :  noiresrisque 	 Frequency : 1
Word :  desert 	 Frequency : 3
Word :  echanges 	 Frequency : 6
Word :  personnelse 	 Frequency : 1
Word :  distraite 	 Frequency : 1
Word :  rdcelle 	 Frequency : 1
Word :  sir 	 Frequency : 1
Word :  réouverte 	 Frequency : 2
Word :  chambreremis 	 Frequency : 2
Word :  picarle 	 Frequency : 19
Word :  laisney 	 Frequency : 1
Word :  peureste 	 Frequency : 1
Word :  apelé 	 Frequency : 1
Word :  inscrits5605122014 	 Frequency : 1
Word :  7helle 	 Frequency : 1
Word :  douteux 	 Frequency : 1
Word :  évaluationproposé 	 Frequency : 1
Word :  labsortion 	 Frequency : 1
Word :  entraîné 	 Frequency : 3
Word :  bloussons 	 Frequency : 1
Word :  ordoxalatan 	 Frequency : 1
Word :  rassuréil 	 Frequency : 2
Word :  cp 	 Frequency : 180
Word :  côtesconstances 	 Frequency : 1
Word :  annemariepdf 	 Frequency : 1
Word :  1994 	 Frequency : 1
Word :  intérrompus 	 Frequency : 1
Word :  cno 	 Frequency : 5
Word :  jourssi 	 Frequency : 1
Word :  famillevisite 	 Frequency : 1
Word :  antibioje 	 Frequency : 1
Word :  291 	 Frequency : 1
Word :  soirvue 	 Frequency : 1
Word :  débutée 	 Frequency : 4
Word :  residantettt 	 Frequency : 1
Word :  décaller 	 Frequency : 1
Word :  aloïs 	 Frequency : 2
Word :  fiorletta 	 Frequency : 3
Word :  danniversaire 	 Frequency : 1
Word :  grenouillière 	 Frequency : 1
Word :  atb 	 Frequency : 83
Word :  13h00 	 Frequency : 6
Word :  moindre 	 Frequency : 18
Word :  bilatérales 	 Frequency : 1
Word :  lordi 	 Frequency : 2
Word :  persévérance 	 Frequency : 1
Word :  aaapyrétiquenon 	 Frequency : 1
Word :  orthesiste 	 Frequency : 1
Word :  lgp 	 Frequency : 2
Word :  16h00span 	 Frequency : 1
Word :  rodriguez 	 Frequency : 5
Word :  énervéenous 	 Frequency : 1
Word :  proposéecommunication 	 Frequency : 1
Word :  darche 	 Frequency : 1
Word :  mieuxpoursuivre 	 Frequency : 2
Word :  integralité 	 Frequency : 1
Word :  sténose 	 Frequency : 3
Word :  aupres 	 Frequency : 26
Word :  bleusdextro 	 Frequency : 1
Word :  vueson 	 Frequency : 1
Word :  théâtre 	 Frequency : 1
Word :  aérosoles 	 Frequency : 1
Word :  tempèrature 	 Frequency : 3
Word :  courantfiche 	 Frequency : 1
Word :  remplacera 	 Frequency : 1
Word :  yellowlarrêt 	 Frequency : 1
Word :  faitenoter 	 Frequency : 1
Word :  séchée 	 Frequency : 5
Word :  frais 	 Frequency : 9
Word :  nuitshydrate 	 Frequency : 1
Word :  filsla 	 Frequency : 2
Word :  couture 	 Frequency : 10
Word :  brachioantibrachial 	 Frequency : 1
Word :  2015ablation 	 Frequency : 1
Word :  belmer 	 Frequency : 6
Word :  insolent 	 Frequency : 2
Word :  résidentefils 	 Frequency : 1
Word :  impraticables 	 Frequency : 1
Word :  alzhimer 	 Frequency : 1
Word :  19h50lieu 	 Frequency : 2
Word :  cloarec 	 Frequency : 2
Word :  0span 	 Frequency : 1
Word :  gegonne 	 Frequency : 1
Word :  comprenent 	 Frequency : 1
Word :  adoptée 	 Frequency : 1
Word :  normaldemande 	 Frequency : 1
Word :  gémit 	 Frequency : 2
Word :  pou 	 Frequency : 8
Word :  prévénue 	 Frequency : 7
Word :  vaxination 	 Frequency : 2
Word :  guezel 	 Frequency : 1
Word :  bassereste 	 Frequency : 1
Word :  souscutanées 	 Frequency : 1
Word :  priseprends 	 Frequency : 1
Word :  255animation 	 Frequency : 1
Word :  neuropsychologique 	 Frequency : 2
Word :  relaisbilan 	 Frequency : 1
Word :  sau 	 Frequency : 5
Word :  croûtes 	 Frequency : 3
Word :  midiarrêt 	 Frequency : 1
Word :  cherchée 	 Frequency : 1
Word :  entrainrepond 	 Frequency : 1
Word :  dentistelieu 	 Frequency : 1
Word :  imprégnation 	 Frequency : 1
Word :  toilettedepuis 	 Frequency : 1
Word :  propoercommuniquerporte 	 Frequency : 1
Word :  lacrymale 	 Frequency : 1
Word :  probalement 	 Frequency : 1
Word :  hygienne 	 Frequency : 1
Word :  proustpdf 	 Frequency : 1
Word :  recoucher 	 Frequency : 111
Word :  anniverssaire 	 Frequency : 1
Word :  chage 	 Frequency : 1
Word :  prescrition 	 Frequency : 9
Word :  mtmodification 	 Frequency : 2
Word :  réveillez 	 Frequency : 1
Word :  medicamentsanne 	 Frequency : 1
Word :  stylecolorc00algoplus 	 Frequency : 2
Word :  brlures 	 Frequency : 1
Word :  télévisionil 	 Frequency : 1
Word :  àau 	 Frequency : 1
Word :  protocoleappel 	 Frequency : 1
Word :  255souillée 	 Frequency : 1
Word :  michelraison 	 Frequency : 1
Word :  téléphonemerci 	 Frequency : 1
Word :  nentre 	 Frequency : 1
Word :  satisfaitetat 	 Frequency : 156
Word :  germain 	 Frequency : 5
Word :  personnelletype 	 Frequency : 1
Word :  sinonvoir 	 Frequency : 1
Word :  persécution 	 Frequency : 5
Word :  chambrenous 	 Frequency : 3
Word :  tousé 	 Frequency : 1
Word :  poumon 	 Frequency : 3
Word :  17h30est 	 Frequency : 1
Word :  16042015 	 Frequency : 1
Word :  camions 	 Frequency : 1
Word :  caillol 	 Frequency : 1
Word :  temesta 	 Frequency : 4
Word :  0601 	 Frequency : 2
Word :  fatiguer 	 Frequency : 23
Word :  matineeau 	 Frequency : 1
Word :  3èmeaccompagné 	 Frequency : 1
Word :  pyjamane 	 Frequency : 1
Word :  toucherdifficulté 	 Frequency : 1
Word :  cristina 	 Frequency : 1
Word :  dinterrogations 	 Frequency : 1
Word :  fou 	 Frequency : 1
Word :  besoina 	 Frequency : 1
Word :  soirkine 	 Frequency : 1
Word :  norgalax 	 Frequency : 1
Word :  16062015objectifs 	 Frequency : 1
Word :  hospitalisationbeaucoup 	 Frequency : 1
Word :  nitritesdr 	 Frequency : 2
Word :  spontanémentexamen 	 Frequency : 1
Word :  modifé 	 Frequency : 1
Word :  midisatisfaction 	 Frequency : 1
Word :  gluten 	 Frequency : 1
Word :  blisters 	 Frequency : 3
Word :  jetées 	 Frequency : 2
Word :  veture 	 Frequency : 1
Word :  nonin 	 Frequency : 3
Word :  haldol 	 Frequency : 12
Word :  écchymose 	 Frequency : 1
Word :  pulstempérature 	 Frequency : 2
Word :  préparée 	 Frequency : 3
Word :  decidé 	 Frequency : 3
Word :  23h30cause 	 Frequency : 1
Word :  amiard 	 Frequency : 1
Word :  quauparavant 	 Frequency : 7
Word :  12h30 	 Frequency : 13
Word :  hall 	 Frequency : 27
Word :  constatation 	 Frequency : 11
Word :  terreux 	 Frequency : 1
Word :  tracabilite 	 Frequency : 1
Word :  374c 	 Frequency : 1
Word :  passagemot 	 Frequency : 1
Word :  sembla 	 Frequency : 1
Word :  blueprojet 	 Frequency : 2
Word :  idearret 	 Frequency : 2
Word :  0677507618 	 Frequency : 1
Word :  pendant 	 Frequency : 485
Word :  malodorantes 	 Frequency : 17
Word :  bpn 	 Frequency : 1
Word :  former 	 Frequency : 1
Word :  fractures 	 Frequency : 10
Word :  seuleaction 	 Frequency : 1
Word :  lèveaccompagné 	 Frequency : 1
Word :  jourmadame 	 Frequency : 4
Word :  regonflé 	 Frequency : 1
Word :  dinererrancecompletement 	 Frequency : 1
Word :  efferalgan 	 Frequency : 6
Word :  impatientveut 	 Frequency : 1
Word :  pleina 	 Frequency : 1
Word :  lenverrons 	 Frequency : 1
Word :  épistaxisdraps 	 Frequency : 1
Word :  récupérésbs 	 Frequency : 1
Word :  exprimés 	 Frequency : 1
Word :  pipette 	 Frequency : 2
Word :  foulard 	 Frequency : 6
Word :  underlinele 	 Frequency : 1
Word :  saggravant 	 Frequency : 1
Word :  osup2 	 Frequency : 33
Word :  haricot 	 Frequency : 4
Word :  évident 	 Frequency : 1
Word :  peyrol 	 Frequency : 2
Word :  soirarret 	 Frequency : 1
Word :  bouché 	 Frequency : 11
Word :  debras 	 Frequency : 22
Word :  evanopoursuivre 	 Frequency : 1
Word :  puls70 	 Frequency : 1
Word :  bruléarret 	 Frequency : 1
Word :  cheveuxpropre 	 Frequency : 1
Word :  reconnaissance 	 Frequency : 9
Word :  midi3 	 Frequency : 1
Word :  fabiéras 	 Frequency : 1
Word :  0à 	 Frequency : 1
Word :  gérald 	 Frequency : 2
Word :  semainele31214stimuler 	 Frequency : 1
Word :  ad3 	 Frequency : 6
Word :  protectioncela 	 Frequency : 1
Word :  ecategoriquement 	 Frequency : 1
Word :  prochaine 	 Frequency : 140
Word :  decembrune 	 Frequency : 1
Word :  rapelle 	 Frequency : 7
Word :  pointure 	 Frequency : 1
Word :  muni 	 Frequency : 2
Word :  piedsdormi 	 Frequency : 1
Word :  ennuyeux 	 Frequency : 1
Word :  lerreur 	 Frequency : 1
Word :  raidit 	 Frequency : 4
Word :  spatiotemporellesson 	 Frequency : 1
Word :  siflante 	 Frequency : 1
Word :  mensuelles 	 Frequency : 1
Word :  liens 	 Frequency : 8
Word :  difficillement 	 Frequency : 2
Word :  carafe 	 Frequency : 3
Word :  sellesest 	 Frequency : 1
Word :  canalisation 	 Frequency : 1
Word :  marcherrisque 	 Frequency : 1
Word :  sopalin 	 Frequency : 2
Word :  litfauteuil 	 Frequency : 6
Word :  frictions 	 Frequency : 1
Word :  transmitions 	 Frequency : 1
Word :  monchy 	 Frequency : 2
Word :  cosson 	 Frequency : 2
Word :  traintantpas 	 Frequency : 1
Word :  chaudedit 	 Frequency : 1
Word :  détails 	 Frequency : 2
Word :  repredre 	 Frequency : 1
Word :  polyarthrose 	 Frequency : 1
Word :  convocation 	 Frequency : 6
Word :  amicale 	 Frequency : 1
Word :  lassiette 	 Frequency : 7
Word :  stylecolor48402kg 	 Frequency : 2
Word :  initialement 	 Frequency : 8
Word :  surveillanceide 	 Frequency : 8
Word :  wcmise 	 Frequency : 1
Word :  psychologue16h24 	 Frequency : 7
Word :  adduction 	 Frequency : 1
Word :  hba1c 	 Frequency : 1
Word :  répèter 	 Frequency : 1
Word :  régulièrementtrès 	 Frequency : 1
Word :  dénia 	 Frequency : 1
Word :  relationnelrassuré 	 Frequency : 1
Word :  mardijeudia 	 Frequency : 1
Word :  16867 	 Frequency : 1
Word :  expliquant 	 Frequency : 30
Word :  plussa 	 Frequency : 1
Word :  sallumer 	 Frequency : 1
Word :  dappaisement 	 Frequency : 1
Word :  beaucoupcontinue 	 Frequency : 1
Word :  deamnde 	 Frequency : 2
Word :  avertirai 	 Frequency : 1
Word :  laissera 	 Frequency : 2
Word :  doublée 	 Frequency : 1
Word :  fin12h00personne 	 Frequency : 1
Word :  2930 	 Frequency : 1
Word :  carton 	 Frequency : 9
Word :  16h08 	 Frequency : 1
Word :  impossibilitée 	 Frequency : 1
Word :  surfiletinfo 	 Frequency : 1
Word :  déshabillageautres 	 Frequency : 3
Word :  aubrynb 	 Frequency : 4
Word :  devie 	 Frequency : 1
Word :  26022014 	 Frequency : 1
Word :  chambrechangement 	 Frequency : 1
Word :  caractéristique 	 Frequency : 2
Word :  léfficacitée 	 Frequency : 1
Word :  télplannifier 	 Frequency : 1
Word :  décousus 	 Frequency : 1
Word :  elledormer 	 Frequency : 1
Word :  paramètresplateau 	 Frequency : 1
Word :  haugedé 	 Frequency : 1
Word :  plien 	 Frequency : 2
Word :  deambulée 	 Frequency : 4
Word :  smectaselles 	 Frequency : 1
Word :  1semaine 	 Frequency : 4
Word :  finale 	 Frequency : 1
Word :  reparle 	 Frequency : 12
Word :  griffes 	 Frequency : 1
Word :  crispe 	 Frequency : 3
Word :  refrigirateur 	 Frequency : 1
Word :  purplefauteuil 	 Frequency : 2
Word :  balance 	 Frequency : 1
Word :  secm 	 Frequency : 1
Word :  attention 	 Frequency : 137
Word :  universelle 	 Frequency : 1
Word :  lourdeur 	 Frequency : 1
Word :  montfermeilfils 	 Frequency : 1
Word :  ventret38 	 Frequency : 1
Word :  dosplaie 	 Frequency : 1
Word :  tendues 	 Frequency : 1
Word :  0247474635 	 Frequency : 2
Word :  pseudogrippal 	 Frequency : 1
Word :  rasro 	 Frequency : 1
Word :  38 	 Frequency : 23
Word :  foisderoxat 	 Frequency : 1
Word :  urinaireai 	 Frequency : 1
Word :  parcequil 	 Frequency : 1
Word :  82 	 Frequency : 14
Word :  soirmédicaments 	 Frequency : 1
Word :  16h26type 	 Frequency : 1
Word :  suivie 	 Frequency : 17
Word :  chambremr 	 Frequency : 1
Word :  inclu 	 Frequency : 1
Word :  1sippo 	 Frequency : 1
Word :  chicots 	 Frequency : 2
Word :  abouti 	 Frequency : 1
Word :  003 	 Frequency : 1
Word :  tixocortol 	 Frequency : 2
Word :  disant 	 Frequency : 119
Word :  repasassurer 	 Frequency : 1
Word :  particulierement 	 Frequency : 2
Word :  casquette!dans 	 Frequency : 1
Word :  feuilletés 	 Frequency : 1
Word :  054 	 Frequency : 1
Word :  actuel 	 Frequency : 12
Word :  fallut 	 Frequency : 2
Word :  lovenoxelle 	 Frequency : 1
Word :  savonne 	 Frequency : 1
Word :  illégal 	 Frequency : 1
Word :  pugnacité 	 Frequency : 1
Word :  remarchera 	 Frequency : 1
Word :  difficilles 	 Frequency : 1
Word :  blesser 	 Frequency : 4
Word :  dinerconstantes 	 Frequency : 1
Word :  largetoux 	 Frequency : 1
Word :  stochlin 	 Frequency : 1
Word :  cardiaquefille 	 Frequency : 1
Word :  métacarpien 	 Frequency : 1
Word :  hémorragie 	 Frequency : 5
Word :  annalyser 	 Frequency : 1
Word :  perimetrecependant 	 Frequency : 1
Word :  propostion 	 Frequency : 1
Word :  damfille 	 Frequency : 1
Word :  duc 	 Frequency : 7
Word :  310eme 	 Frequency : 1
Word :  bibliothéque 	 Frequency : 2
Word :  coagulationpas 	 Frequency : 1
Word :  mipetite 	 Frequency : 1
Word :  copain 	 Frequency : 1
Word :  handicape 	 Frequency : 1
Word :  precise 	 Frequency : 8
Word :  lourdes 	 Frequency : 2
Word :  dendurance 	 Frequency : 1
Word :  pubisvue 	 Frequency : 1
Word :  provoquante 	 Frequency : 1
Word :  aujourdhuiaprès 	 Frequency : 1
Word :  maxillo 	 Frequency : 7
Word :  saigner 	 Frequency : 4
Word :  lophtalmologue 	 Frequency : 2
Word :  protectionje 	 Frequency : 3
Word :  t370 	 Frequency : 1
Word :  indiceau 	 Frequency : 2
Word :  concise 	 Frequency : 2
Word :  courantesen 	 Frequency : 1
Word :  dtslangage 	 Frequency : 1
Word :  renseignement 	 Frequency : 4
Word :  rincage 	 Frequency : 2
Word :  avançant 	 Frequency : 1
Word :  particuliere 	 Frequency : 7
Word :  vandestienne 	 Frequency : 1
Word :  marqué 	 Frequency : 22
Word :  chroniques 	 Frequency : 4
Word :  nervositè 	 Frequency : 1
Word :  lechantre 	 Frequency : 3
Word :  attitré 	 Frequency : 1
Word :  merle 	 Frequency : 1
Word :  disparaisse 	 Frequency : 1
Word :  journéeretour 	 Frequency : 1
Word :  passera 	 Frequency : 193
Word :  17h40lieu 	 Frequency : 1
Word :  narcissiqueen 	 Frequency : 1
Word :  incalmable 	 Frequency : 1
Word :  attestaion 	 Frequency : 1
Word :  fuite 	 Frequency : 13
Word :  rapidementje 	 Frequency : 1
Word :  résidenceactions 	 Frequency : 1
Word :  netsoins!!!!! 	 Frequency : 1
Word :  1e 	 Frequency : 1
